COUNTYGEOID,C01,C02,C03,C04,C05,label
02013,-0.07880609982962432,-0.1113289136875432,-0.01152485358966719,-0.05604569181776075,-0.043907490170791125,3
02016,-0.0788060998295974,-0.11132891368752154,-0.011524853589669266,-0.056045691817767085,-0.043907490170806265,3
02020,-0.1353691371783659,-0.21039022714683225,-0.12018166055731158,-0.3747477027636266,0.8051008079253641,0
02050,-0.12640300723537107,-0.2126714588569376,-0.41693659912770176,0.7862969732529447,0.09677350841696604,5
02060,-0.1070513104298162,-0.17505898846317355,-0.041911383807832416,-0.07836442308055834,-0.0956860017905483,3
02068,-0.1070513104298128,-0.1750589884631824,-0.0419113838078282,-0.07836442308055687,-0.095686001790538,3
02070,-0.07880609982962447,-0.11132891368754363,-0.011524853589668515,-0.05604569181775816,-0.043907490170792186,3
02090,-0.13534601010319802,-0.2103504042514376,-0.1191352873136981,-0.3775078310002885,0.8044082582175149,0
02100,-0.07880609982962439,-0.11132891368754344,-0.011524853589671707,-0.05604569181776188,-0.043907490170782236,3
02105,-0.07880609982962439,-0.11132891368754344,-0.0115248535896672,-0.05604569181776085,-0.04390749017079048,3
02110,-0.1264032258860849,-0.2126718993350616,-0.41693670469133104,0.7862964969539404,0.09677275777379712,5
02122,-0.1263684157295876,-0.21286949460898527,-0.4173795575864001,0.787281633896932,0.09694440275141464,5
02130,-0.12639042258285085,-0.21264308868017007,-0.4169231733415475,0.7863071889083151,0.09679678005245744,5
02150,-0.07880609982962439,-0.11132891368754344,-0.011524853589667249,-0.05604569181776087,-0.043907490170791166,3
02158,-0.07880609982962439,-0.11132891368754344,-0.011524853589667206,-0.05604569181776089,-0.04390749017079113,3
02164,-0.07880609982962439,-0.11132891368754344,-0.011524853589667223,-0.05604569181776089,-0.043907490170791146,3
02170,-0.07880609982962439,-0.11132891368754344,-0.011524853589667223,-0.05604569181776088,-0.043907490170791146,3
02180,-0.07880609982962437,-0.11132891368754344,-0.011524853589667223,-0.05604569181776089,-0.043907490170791166,3
02185,-0.07880609982962437,-0.11132891368754344,-0.011524853589667223,-0.05604569181776088,-0.04390749017079116,3
02188,-0.08777523268710256,-0.12731811521549607,-0.017273016881683947,-0.06896703776935967,-0.02639334008478781,3
02195,-0.07880609982962439,-0.11132891368754344,-0.011524853589667221,-0.05604569181776089,-0.043907490170791166,3
02198,-0.07880609982962439,-0.1113289136875434,-0.011524853589667221,-0.05604569181776089,-0.043907490170791125,3
02220,-0.07880609982962437,-0.1113289136875434,-0.011524853589667223,-0.0560456918177609,-0.04390749017079114,3
02230,-0.07880609982962437,-0.1113289136875434,-0.011524853589667223,-0.0560456918177609,-0.04390749017079114,3
02240,-0.07880609982962437,-0.1113289136875434,-0.011524853589667223,-0.05604569181776089,-0.043907490170791146,3
