COUNTYGEOID,label,tri_chem_id,quantity_kg
48245,3,000319846,4.9895160700000005
02090,4,N078,18412.67507541
02188,4,N078,7667382.164401783
01073,1,N078,3352.3742008064
01075,1,N078,26.76194983
01095,4,N078,2.72155422
01103,1,N078,2037.4643512608
01119,4,N078,6607330.830972117
01125,5,N078,104.54215506812
05067,4,N078,9.344002822
05093,4,N078,488.8364971490001
05131,1,N078,2.12417306871
05139,1,N078,16842.76733895686
04007,4,N078,2166241.94665802
04011,4,N078,22679.618500000004
04013,1,N078,99.0464299132
04021,4,N078,60893.41489539
06001,1,N078,27.66913457
06029,3,N078,21667.20033016
06037,3,N078,17.047135245525
06059,5,N078,0.09525439770000002
06111,3,N078,9.52543977
08001,3,N078,67286.61337766831
08031,4,N078,1096.7863506600004
08041,1,N078,353.80204860000015
08065,4,N078,6705.4560057100025
08101,4,N078,2.17134667519
09001,1,N078,64.86370891
09003,1,N078,11.79340162
10003,3,N078,44.90564463
12001,4,N078,5651.760930200001
12031,5,N078,202.55167282349998
12047,4,N078,35380.549590201204
13045,4,N078,54.88467677
13185,4,N078,360.15234178000014
19111,1,N078,0.90718474
16029,4,N078,3537466.540854062
16077,4,N078,1976958.562797041
16079,4,N078,159296.00173724856
17031,1,N078,622.81180751405
17091,2,N078,234.05366292
17115,1,N078,0.90718474
17135,4,N078,565.17609302
17143,4,N078,910547.67383118
17163,1,N078,671710.6072141082
17189,4,N078,25638.2414114034
17197,1,N078,1.7962257852
18017,1,N078,315.6141069697
18033,5,N078,637.75087222
18063,4,N078,43.99845989000001
18089,3,N078,79397.12142353531
18097,1,N078,1.81436948
18129,2,N078,70.76040972
18133,5,N078,266.71231356000004
20015,2,N078,24.94758035
20173,1,N078,698.5322497999998
21019,2,N078,391.45021531
21037,1,N078,34.926612490000004
21077,4,N078,38.1199027748
21101,4,N078,125.19149412
21111,2,N078,5069.348327120001
21209,2,N078,1368.94177266
22005,0,N078,184347.19664592
22017,1,N078,1554.9146443600002
22019,5,N078,25991.29639337
22033,3,N078,4.9895160700000005
22047,2,N078,53.97749203
22077,4,N078,0.45359237
22097,3,N078,2.2679618500000003
25005,1,N078,134.5672484079
25009,1,N078,14.968548210000002
25027,1,N078,215.45637575
24005,1,N078,172.3651006
24510,5,N078,229.56309845700008
26021,1,N078,90.718474
26075,1,N078,994.2790109637
26163,1,N078,240302.40130428073
27037,5,N078,58.96700810000001
27053,1,N078,40.8233133
27059,4,N078,34.01942775
27123,1,N078,1279.1304834
29093,4,N078,33767.68398465
29099,4,N078,189971.95522233387
29173,1,N078,0.4989516070000001
29183,1,N078,102.05828325
28003,4,N078,76.65257460630002
28047,4,N078,129624.90594438
28087,1,N078,171.00432349
28121,4,N078,164.65403031
30013,2,N078,1.36077711
30043,4,N078,66731.60228966
30049,4,N078,334599.66920842003
37013,4,N078,638741.4408453772
37067,1,N078,0.05443108440000001
37071,1,N078,167.37558453000003
37147,3,N078,1.36077711
37161,0,N078,321.59699033
31055,1,N078,4.0823313300000015
31095,4,N078,49.350849856
31167,4,N078,83.28409505570002
34005,1,N078,2.2679618500000003
34023,5,N078,308.4428116
34033,3,N078,26.76194983
35017,4,N078,373241.20320872
35023,4,N078,268326.64880483
32007,4,N078,1386603.29877069
32011,4,N078,2663622.76328071
32013,4,N078,1036679.46493419
32015,4,N078,1367532.1436517509
32023,4,N078,434015.2008408601
36001,3,N078,333.3903919500001
36011,4,N078,16.27761578982
36047,1,N078,11500.83454135
36063,1,N078,54184.33015072001
36089,4,N078,96947.65801721004
39017,1,N078,33.56583538
39019,4,N078,1416.5689715099998
39033,4,N078,498.951607
39035,1,N078,32007.8589871425
39043,2,N078,4.5359237000000014
39049,1,N078,4.9895160700000005
39061,1,N078,67.13167076
39077,4,N078,2266.60107289
39085,1,N078,452.68518526
39089,1,N078,34.01942775
39095,1,N078,3.62873896
39099,1,N078,34.47302012
39143,4,N078,131090.46289184998
39151,1,N078,20.2937226338
39155,2,N078,47.62719885
39157,0,N078,142.5550100436
39167,0,N078,0.45359237
39173,1,N078,4.9895160700000005
40093,4,N078,3930675.49616862
40143,1,N078,53.07030729
40147,4,N078,19543.934446190007
42003,2,N078,1302.26369427
42007,4,N078,12075.540610063703
42011,1,N078,132.764717688757
42019,1,N078,1.81436948
42025,4,N078,3796.341340715
42029,5,N078,635.029318
