calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,likelihood_lower,covariance_type,model,score
1104.5693786744437,1.4628797726373026,0.9855953679703147,0.7171814246939133,0.000905330185053714,2.6528441913006198,"{0: {'label': 0, 'median': 0.9855953679703147, 'mean': 0.9724347788646912, 'density': 0.9724347788647094, 'sum': 1751.3550367353089, 'count': 1801}, 1: {'label': 1, 'median': 0.769183931605674, 'mean': 0.6244682168438714, 'density': 0.6244682168438729, 'sum': 306.6138944703409, 'count': 491}, 2: {'label': 2, 'median': 0.5901033565537479, 'mean': 0.2755860947442045, 'density': 0.2755860947442039, 'sum': 124.28932872963621, 'count': 451}, 3: {'label': 3, 'median': -0.2832740583113038, 'mean': -0.19277684965711828, 'density': -0.19277684965711828, 'sum': -56.29084009987854, 'count': 292}, 4: {'label': 4, 'median': 0.9897396725457439, 'mean': 0.9731319505049492, 'density': 0.973131950504952, 'sum': 192.68012619997992, 'count': 198}}",5,5,60755.375977961085,full,"BayesianGaussianMixture(n_components=5, n_init=18, random_state=5)",1.1890590884782635
1356.941103095218,1.2306701012465289,0.9998393836321321,0.7257997454146164,0.0007369516611435632,3.121761999348052,"{0: {'label': 0, 'median': 0.9998393836321321, 'mean': 0.9996823540644818, 'density': 0.999682354064462, 'sum': 1732.449519593747, 'count': 1733}, 1: {'label': 1, 'median': 0.9982889279987598, 'mean': 0.9968255471943386, 'density': 0.9968255471943402, 'sum': 396.73656778334674, 'count': 398}, 2: {'label': 2, 'median': 0.2630662561047584, 'mean': -0.03171625585035114, 'density': -0.031716255850351205, 'sum': -19.4737810921156, 'count': 614}, 3: {'label': 3, 'median': 0.35329403974147094, 'mean': 0.15716577214802685, 'density': 0.15716577214802685, 'sum': 46.835400100112004, 'count': 298}, 4: {'label': 4, 'median': 0.9999016820105847, 'mean': 0.9998045817915725, 'density': 0.9998045817915742, 'sum': 189.96287054039877, 'count': 190}}",5,5,61758.7204277678,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=5, n_init=18,
                        random_state=5)",1.8903549464403797
3123.863449510023,0.3135761507743452,0.8883836342203913,0.833092611353367,0.00032011642511354,4.463951503092713,"{0: {'label': 0, 'median': 0.9743671264236758, 'mean': 0.9387418695386371, 'density': 0.9387418695386347, 'sum': 466.55470916070266, 'count': 497}, 1: {'label': 1, 'median': 0.8883836342203913, 'mean': 0.7795262113887204, 'density': 0.779526211388704, 'sum': 1609.7216265177076, 'count': 2065}, 2: {'label': 2, 'median': 0.965744315068256, 'mean': 0.9142907560918361, 'density': 0.9142907560918369, 'sum': 315.43031085168343, 'count': 345}, 3: {'label': 3, 'median': 0.989106674003475, 'mean': 0.960907210256632, 'density': 0.9609072102566334, 'sum': 190.25962763081313, 'count': 198}, 4: {'label': 4, 'median': 0.9504914154159649, 'mean': 0.8704854558169044, 'density': 0.8704854558169036, 'sum': 111.42213834456376, 'count': 128}}",5,5,35302.492231520635,tied,"BayesianGaussianMixture(covariance_type='tied', n_components=5, n_init=18,
                        random_state=5)",4.150055235893254
1980.5333894541911,0.2763332313784699,0.7593609006492366,0.6785764752537039,0.0005049144868370974,4.525075962880827,"{0: {'label': 0, 'median': 0.7593609006492366, 'mean': 0.5392259918456733, 'density': 0.5392259918456862, 'sum': 1212.1800296690735, 'count': 2248}, 1: {'label': 1, 'median': 0.9998080924026084, 'mean': 0.999612666550263, 'density': 0.999612666550262, 'sum': 190.92601931110025, 'count': 191}, 2: {'label': 2, 'median': 0.9985201990994421, 'mean': 0.9970187552688073, 'density': 0.997018755268808, 'sum': 277.17121396472845, 'count': 278}, 3: {'label': 3, 'median': 0.9977732623076537, 'mean': 0.9956987518454483, 'density': 0.9956987518454492, 'sum': 413.21498201586104, 'count': 415}, 4: {'label': 4, 'median': 0.9965673095357751, 'mean': 0.9935197973706217, 'density': 0.993519797370621, 'sum': 100.34549953443279, 'count': 101}}",5,5,31780.320066502627,spherical,"BayesianGaussianMixture(covariance_type='spherical', n_components=5, n_init=18,
                        random_state=5)",4.24823781701552
1416.6818617964948,1.366822090256296,0.9855995598344777,0.7435960758207725,0.0007058747817466228,2.9929132109267202,"{0: {'label': 0, 'median': 0.9981452864072319, 'mean': 0.9966276312618778, 'density': 0.9966276312618801, 'sum': 379.71512751077546, 'count': 381}, 1: {'label': 1, 'median': 0.9855995598344777, 'mean': 0.9726767948398224, 'density': 0.9726767948398014, 'sum': 1750.8182307116804, 'count': 1800}, 2: {'label': 2, 'median': 0.6961179612632737, 'mean': 0.5790673631268097, 'density': 0.5790673631268113, 'sum': 207.88518336252469, 'count': 359}, 3: {'label': 3, 'median': 0.9897392728591198, 'mean': 0.9710301225741851, 'density': 0.971030122574186, 'sum': 192.26396426968864, 'count': 198}, 4: {'label': 4, 'median': -0.17726107511331662, 'mean': -0.15204554011301877, 'density': -0.15204554011301902, 'sum': -40.14002258983695, 'count': 264}, 5: {'label': 5, 'median': -0.5186026886499883, 'mean': -0.37444316076294043, 'density': -0.3744431607629397, 'sum': -86.49637013623924, 'count': 231}}",6,6,61944.01014409378,full,"BayesianGaussianMixture(n_components=6, n_init=18, random_state=5)",1.6253852458886777
1696.4896744301589,1.277068021563828,0.9998179187612518,0.7417517690224636,0.000589452452951648,4.44010852918078,"{0: {'label': 0, 'median': 0.9998179187612519, 'mean': 0.9996310236599302, 'density': 0.9996310236599579, 'sum': 1733.360195026319, 'count': 1734}, 1: {'label': 1, 'median': 0.998571813475701, 'mean': 0.9974108370592736, 'density': 0.9974108370592764, 'sum': 381.01093975664253, 'count': 382}, 2: {'label': 2, 'median': -0.6038546980353893, 'mean': -0.503266102002569, 'density': -0.5032661020025693, 'sum': -276.796356101413, 'count': 550}, 3: {'label': 3, 'median': 0.9974130470879412, 'mean': 0.9949748422974203, 'density': 0.9949748422974185, 'sum': 270.6331571048983, 'count': 272}, 4: {'label': 4, 'median': 0.9999016706066944, 'mean': 0.9997994235956056, 'density': 0.9997994235956039, 'sum': 189.96189048316506, 'count': 190}, 5: {'label': 5, 'median': 0.9692656239810458, 'mean': 0.951558504571092, 'density': 0.951558504571092, 'sum': 99.91364297996466, 'count': 105}}",6,6,64480.8517581712,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=6, n_init=18,
                        random_state=5)",3.162451055164
4514.828621911966,0.2874483464176219,0.9340073185427787,0.8860916792898169,0.0002214923497088388,5.409055333920158,"{0: {'label': 0, 'median': 0.9340073185427787, 'mean': 0.8612471549808867, 'density': 0.8612471549808701, 'sum': 1687.183176607557, 'count': 1959}, 1: {'label': 1, 'median': 0.9799611540071848, 'mean': 0.9497620391146079, 'density': 0.9497620391146067, 'sum': 465.38339916615786, 'count': 490}, 2: {'label': 2, 'median': 0.9643943004939344, 'mean': 0.9101048196928255, 'density': 0.9101048196928267, 'sum': 309.43563869556067, 'count': 340}, 3: {'label': 3, 'median': 0.9890949383275736, 'mean': 0.960731859237461, 'density': 0.9607318592374599, 'sum': 190.22490812901728, 'count': 198}, 4: {'label': 4, 'median': 0.9387378913317745, 'mean': 0.8560406234838522, 'density': 0.8560406234838525, 'sum': 101.86883419457841, 'count': 119}, 5: {'label': 5, 'median': 0.9536173837767673, 'mean': 0.8711688374105421, 'density': 0.8711688374105416, 'sum': 110.63844235113885, 'count': 127}}",6,6,38652.83532176597,tied,"BayesianGaussianMixture(covariance_type='tied', n_components=6, n_init=18,
                        random_state=5)",5.121385495152827
1474.5622491149677,0.851717103594432,0.9997207423843506,0.7615390890898319,0.0006781673683835321,4.923009591702092,"{0: {'label': 0, 'median': 0.9981819182820968, 'mean': 0.9965506726909182, 'density': 0.996550672690918, 'sum': 403.60302243982187, 'count': 405}, 1: {'label': 1, 'median': 0.9997207423843506, 'mean': 0.9994496162956963, 'density': 0.9994496162956673, 'sum': 1736.0439835056245, 'count': 1737}, 2: {'label': 2, 'median': 0.11638470839481342, 'mean': -0.06164037841647763, 'density': -0.06164037841647757, 'sum': -44.565993595113326, 'count': 723}, 3: {'label': 3, 'median': 0.9998060496433664, 'mean': 0.9995933636968692, 'density': 0.9995933636968718, 'sum': 190.92233246610203, 'count': 191}, 4: {'label': 4, 'median': 0.9975843787800377, 'mean': 0.9955303548144019, 'density': 0.9955303548144023, 'sum': 98.55750512662578, 'count': 99}, 5: {'label': 5, 'median': 0.9962509946591454, 'mean': 0.9935259626207101, 'density': 0.9935259626207105, 'sum': 77.49502508441539, 'count': 78}}",6,6,59578.422343449965,spherical,"BayesianGaussianMixture(covariance_type='spherical', n_components=6, n_init=18,
                        random_state=5)",4.070614320739277
1276.7313524576089,1.3070280912408407,0.9995733256283242,0.7468361944375752,0.0007832501317329425,3.2736166980608203,"{0: {'label': 0, 'median': -0.0879657094025105, 'mean': -0.11610511572155331, 'density': -0.11610511572155327, 'sum': -28.910173814666773, 'count': 249}, 1: {'label': 1, 'median': 0.9985717584644732, 'mean': 0.9973731161359728, 'density': 0.9973731161359753, 'sum': 364.04118738963007, 'count': 365}, 2: {'label': 2, 'median': 0.9995733256283247, 'mean': 0.9991606475042375, 'density': 0.9991606475042494, 'sum': 1730.5462414773394, 'count': 1732}, 3: {'label': 3, 'median': 0.9915780504573705, 'mean': 0.9755068826162211, 'density': 0.975506882616217, 'sum': 192.17485587539556, 'count': 197}, 4: {'label': 4, 'median': 0.7037666790373802, 'mean': 0.5821589508940442, 'density': 0.5821589508940423, 'sum': 210.741540223644, 'count': 362}, 5: {'label': 5, 'median': -0.4042681084058056, 'mean': -0.3532176723071743, 'density': -0.3532176723071746, 'sum': -75.58858187373531, 'count': 214}, 6: {'label': 6, 'median': 0.5676127815562025, 'mean': 0.18873988893906435, 'density': 0.1887398889390643, 'sum': 21.516347339053336, 'count': 114}}",7,7,66751.03874608014,full,"BayesianGaussianMixture(n_components=7, n_init=18, random_state=5)",1.9658053566882467
1933.4781129110766,1.056622585893248,0.9997620747264584,0.766833169637423,0.0005172026480787949,5.382621045789797,"{0: {'label': 0, 'median': 0.9997620747264585, 'mean': 0.9995314571617199, 'density': 0.9995314571616911, 'sum': 1733.1875467184223, 'count': 1734}, 1: {'label': 1, 'median': 0.9985190339124405, 'mean': 0.9973086452327863, 'density': 0.9973086452327873, 'sum': 379.9745938336916, 'count': 381}, 2: {'label': 2, 'median': -0.6800032326416253, 'mean': -0.557220790665341, 'density': -0.5572207906653397, 'sum': -266.90875872869833, 'count': 479}, 3: {'label': 3, 'median': 0.9991817648584311, 'mean': 0.9984136532966946, 'density': 0.998413653296694, 'sum': 264.5796181236241, 'count': 265}, 4: {'label': 4, 'median': 0.9999016706066944, 'mean': 0.9997979269521806, 'density': 0.9997979269521791, 'sum': 189.96160612091433, 'count': 190}, 5: {'label': 5, 'median': 0.9692656239810458, 'mean': 0.951484969952034, 'density': 0.9514849699520344, 'sum': 99.90592184496357, 'count': 105}, 6: {'label': 6, 'median': 0.9962130170424669, 'mean': 0.99330518385975, 'density': 0.9933051838597509, 'sum': 78.47110952492025, 'count': 79}}",7,7,65311.88607540556,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=7, n_init=18,
                        random_state=5)",4.32548125724847
