calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,likelihood_lower,covariance_type,model,score
33247.53046952203,0.8280808272403484,0.999999223962763,0.9557135312587238,3.0077421867969974e-05,2.5663126853360043,"{0: {'label': 0, 'median': 0.9999992239627632, 'mean': 0.9999984302038143, 'density': 0.9999984302038323, 'sum': 1653.9974035571088, 'count': 1654}, 1: {'label': 1, 'median': 0.9999959231739652, 'mean': 0.9999920603881756, 'density': 0.9999920603882019, 'sum': 1416.9887495700448, 'count': 1417}, 2: {'label': 2, 'median': -0.08654534984722971, 'mean': -0.17659166678996144, 'density': -0.17659166678996155, 'sum': -13.950741676406954, 'count': 79}, 3: {'label': 3, 'median': 0.8296835279996437, 'mean': 0.7625589017633936, 'density': 0.7625589017633936, 'sum': 33.55259167758932, 'count': 44}, 4: {'label': 4, 'median': 0.23258135142361153, 'mean': -0.0196450402294617, 'density': -0.019645040229461702, 'sum': -0.7661565689490062, 'count': 39}}",5,5,60931.15400713137,full,"BayesianGaussianMixture(n_components=5, n_init=18, random_state=5)",1.738201780673788
29711.054019765037,0.803308694369411,0.9999994139036857,0.9529222013155262,3.3657506708942674e-05,2.461300031134337,"{0: {'label': 0, 'median': 0.9999994139036859, 'mean': 0.999998817154734, 'density': 0.999998817154754, 'sum': 1653.99804357393, 'count': 1654}, 1: {'label': 1, 'median': 0.9999951605021772, 'mean': 0.9999905719540242, 'density': 0.9999905719540501, 'sum': 1416.9866404588522, 'count': 1417}, 2: {'label': 2, 'median': -0.3533253483978741, 'mean': -0.20184264812223837, 'density': -0.20184264812223834, 'sum': -17.963995682879215, 'count': 89}, 3: {'label': 3, 'median': 0.7819407094532592, 'mean': 0.656276046231074, 'density': 0.6562760462310742, 'sum': 27.56359394170511, 'count': 42}, 4: {'label': 4, 'median': 0.4369543432789592, 'mean': 0.006877243916697478, 'density': 0.0068772439166974765, 'sum': 0.21319456141762183, 'count': 31}}",5,5,60414.566717325586,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=5, n_init=18,
                        random_state=5)",1.657957679258217
55497.041133377636,0.5011564899151418,0.9963729943357725,0.9837509627531604,1.8018978662243834e-05,4.103027174868296,"{0: {'label': 0, 'median': 0.9963729943357725, 'mean': 0.9902222168644748, 'density': 0.990222216864458, 'sum': 1683.3777686696071, 'count': 1700}, 1: {'label': 1, 'median': 0.9978350482342613, 'mean': 0.9946677110670644, 'density': 0.994667711067061, 'sum': 1426.3534976701703, 'count': 1434}, 2: {'label': 2, 'median': 0.8322063632020812, 'mean': 0.7110813657131739, 'density': 0.7110813657131742, 'sum': 29.15433599424013, 'count': 41}, 3: {'label': 3, 'median': 0.8203034056464309, 'mean': 0.7590022042903339, 'density': 0.759002204290334, 'sum': 27.32407935445202, 'count': 36}, 4: {'label': 4, 'median': 0.7302147405988919, 'mean': 0.6480536769332689, 'density': 0.6480536769332689, 'sum': 14.257180892531915, 'count': 22}}",5,5,35034.08165810504,tied,"BayesianGaussianMixture(covariance_type='tied', n_components=5, n_init=18,
                        random_state=5)",3.6018526659744916
32655.264377124156,0.8495496271496193,0.9999749706071722,0.9561631192151018,3.062293382320694e-05,2.559518413282154,"{0: {'label': 0, 'median': 0.9999749706071722, 'mean': 0.999946143290964, 'density': 0.9999461432909921, 'sum': 1656.9107594331274, 'count': 1657}, 1: {'label': 1, 'median': 0.9999931191921431, 'mean': 0.9999863282601703, 'density': 0.9999863282601725, 'sum': 1415.980640816401, 'count': 1416}, 2: {'label': 2, 'median': -0.09743419242641799, 'mean': -0.15054839352515278, 'density': -0.15054839352515278, 'sum': -11.441677907911611, 'count': 76}, 3: {'label': 3, 'median': 0.8604933156090694, 'mean': 0.7913024699912247, 'density': 0.7913024699912247, 'sum': 33.234703739631435, 'count': 42}, 4: {'label': 4, 'median': 0.17347408823855293, 'mean': -0.08116813473508254, 'density': -0.08116813473508255, 'sum': -3.409061658873467, 'count': 42}}",5,5,49396.45560640712,spherical,"BayesianGaussianMixture(covariance_type='spherical', n_components=5, n_init=18,
                        random_state=5)",1.7099381631987116
36534.448359098635,0.7668382413654258,0.999999223962763,0.9555246707296645,2.737142737645736e-05,3.147300339060323,"{0: {'label': 0, 'median': 0.9999951605021772, 'mean': 0.9999905719540242, 'density': 0.9999905719540501, 'sum': 1416.9866404588522, 'count': 1417}, 1: {'label': 1, 'median': 0.9999992239627632, 'mean': 0.9999984302038143, 'density': 0.9999984302038323, 'sum': 1653.9974035571088, 'count': 1654}, 2: {'label': 2, 'median': 0.8188818984512466, 'mean': 0.7872501081231498, 'density': 0.7872501081231499, 'sum': 25.979253568063942, 'count': 33}, 3: {'label': 3, 'median': -0.2802519210693349, 'mean': -0.2355279687883702, 'density': -0.23552796878837035, 'sum': -18.606709534281247, 'count': 79}, 4: {'label': 4, 'median': 0.24189297410582392, 'mean': -0.03846019454925152, 'density': -0.03846019454925152, 'sum': -1.1922660310267972, 'count': 31}, 5: {'label': 5, 'median': 0.6506128690236557, 'mean': 0.6340493921169125, 'density': 0.6340493921169124, 'sum': 12.046938450221337, 'count': 19}}",6,6,60998.52027019692,full,"BayesianGaussianMixture(n_components=6, n_init=18, random_state=5)",2.380434726267521
32478.030573381257,0.824032527561247,0.9999975039785036,0.9611733464193318,3.079004429596148e-05,2.8860566227816515,"{0: {'label': 0, 'median': 0.9999951605021772, 'mean': 0.9999905719540242, 'density': 0.9999905719540501, 'sum': 1416.9866404588522, 'count': 1417}, 1: {'label': 1, 'median': 0.9999975039785047, 'mean': 0.999994918488005, 'density': 0.9999949184880318, 'sum': 1653.9915951791604, 'count': 1654}, 2: {'label': 2, 'median': 0.719826163728267, 'mean': 0.6166684182277221, 'density': 0.6166684182277221, 'sum': 27.750078820247495, 'count': 45}, 3: {'label': 3, 'median': 0.68428016095692, 'mean': 0.5913664484208845, 'density': 0.5913664484208845, 'sum': 23.654657936835378, 'count': 40}, 4: {'label': 4, 'median': -0.21124328604043624, 'mean': -0.32857784385981725, 'density': -0.3285778438598174, 'sum': -15.114580817551595, 'count': 46}, 5: {'label': 5, 'median': 0.42879717793554284, 'mean': 0.0066141095507808246, 'density': 0.00661410955078082, 'sum': 0.20503739607420557, 'count': 31}}",6,6,60577.770344513265,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=6, n_init=18,
                        random_state=5)",2.0619933051761086
59604.66184832778,0.4596221536288123,0.9963729943357725,0.9834453773548517,1.6777211194396788e-05,4.855446882182136,"{0: {'label': 0, 'median': 0.9963729943357725, 'mean': 0.9902221013848185, 'density': 0.9902221013848017, 'sum': 1683.3775723541914, 'count': 1700}, 1: {'label': 1, 'median': 0.9985033421122438, 'mean': 0.9954559943609105, 'density': 0.9954559943609289, 'sum': 1425.4929839248239, 'count': 1432}, 2: {'label': 2, 'median': 0.8451073702040053, 'mean': 0.6764516252581964, 'density': 0.6764516252581964, 'sum': 22.999355258778674, 'count': 34}, 3: {'label': 3, 'median': 0.8322063632020812, 'mean': 0.6956660724662233, 'density': 0.6956660724662234, 'sum': 28.522308971115155, 'count': 41}, 4: {'label': 4, 'median': 0.8040010663898469, 'mean': 0.6850289320349211, 'density': 0.685028932034921, 'sum': 10.960462912558738, 'count': 16}, 5: {'label': 5, 'median': 0.8792742184182776, 'mean': 0.8126221566770641, 'density': 0.812622156677064, 'sum': 8.12622156677064, 'count': 10}}",6,6,35756.480828169544,tied,"BayesianGaussianMixture(covariance_type='tied', n_components=6, n_init=18,
                        random_state=5)",4.395807951342129
29950.042595248797,0.8226779521400606,0.9999038634880668,0.9643291617594477,3.3388934149917955e-05,3.303362113175963,"{0: {'label': 0, 'median': 0.9999948978205123, 'mean': 0.9999898657653892, 'density': 0.9999898657653953, 'sum': 1415.985649923791, 'count': 1416}, 1: {'label': 1, 'median': 0.9999038634880668, 'mean': 0.9997645759121132, 'density': 0.9997645759121319, 'sum': 1656.6099022863716, 'count': 1657}, 2: {'label': 2, 'median': 0.8310250367791454, 'mean': 0.7003066183211658, 'density': 0.7003066183211658, 'sum': 27.311958114525467, 'count': 39}, 3: {'label': 3, 'median': -0.249730849487245, 'mean': -0.30094654869887655, 'density': -0.3009465486988765, 'sum': -13.84354124014832, 'count': 46}, 4: {'label': 4, 'median': 0.8492744215517125, 'mean': 0.7802772561723433, 'density': 0.7802772561723434, 'sum': 26.529426709859674, 'count': 34}, 5: {'label': 5, 'median': 0.6159464943172371, 'mean': 0.12397034570380262, 'density': 0.12397034570380262, 'sum': 5.082784173855908, 'count': 41}}",6,6,49495.922325369625,spherical,"BayesianGaussianMixture(covariance_type='spherical', n_components=6, n_init=18,
                        random_state=5)",2.4806507721017526
36564.16854914956,0.7135674981651466,0.999999223962763,0.9538147113602314,2.7349179256074152e-05,3.70133043397135,"{0: {'label': 0, 'median': 0.999994468678449, 'mean': 0.9999892194272176, 'density': 0.9999892194271975, 'sum': 1416.9847239283674, 'count': 1417}, 1: {'label': 1, 'median': 0.9999992239627632, 'mean': 0.9999984302038143, 'density': 0.9999984302038323, 'sum': 1653.9974035571088, 'count': 1654}, 2: {'label': 2, 'median': 0.7302949307729952, 'mean': 0.5743111634006787, 'density': 0.5743111634006787, 'sum': 18.952268392222397, 'count': 33}, 3: {'label': 3, 'median': -0.18748209775235666, 'mean': -0.2052197603367004, 'density': -0.20521976033670042, 'sum': -5.5409335290909105, 'count': 27}, 4: {'label': 4, 'median': -0.2802519210693349, 'mean': -0.2355279687883702, 'density': -0.23552796878837035, 'sum': -18.606709534281247, 'count': 79}, 5: {'label': 5, 'median': 0.9409645677873085, 'mean': 0.9171431874754853, 'density': 0.9171431874754853, 'sum': 10.088575062230339, 'count': 11}, 6: {'label': 6, 'median': 0.7172833425181935, 'mean': 0.6506361625892271, 'density': 0.6506361625892271, 'sum': 7.807633951070725, 'count': 12}}",7,7,61040.19659679791,full,"BayesianGaussianMixture(n_components=7, n_init=18, random_state=5)",2.9877355866269473
24703.32097906491,0.8982015490321762,0.9999977036539148,0.9640249013150701,4.048038726645136e-05,3.4040809705988164,"{0: {'label': 0, 'median': 0.9999967553373993, 'mean': 0.9999936787746965, 'density': 0.9999936787746904, 'sum': 1416.991042823745, 'count': 1417}, 1: {'label': 1, 'median': 0.9999977036539158, 'mean': 0.9999952607730515, 'density': 0.9999952607730731, 'sum': 1653.992161318627, 'count': 1654}, 2: {'label': 2, 'median': 0.6259007308277492, 'mean': 0.42282844017223475, 'density': 0.42282844017223464, 'sum': 19.027279807750563, 'count': 45}, 3: {'label': 3, 'median': 0.7678166352923457, 'mean': 0.614427390817749, 'density': 0.6144273908177492, 'sum': 12.28854781635498, 'count': 20}, 4: {'label': 4, 'median': 0.8792986207803578, 'mean': 0.7425684269586151, 'density': 0.7425684269586154, 'sum': 20.04934752788261, 'count': 27}, 5: {'label': 5, 'median': -0.9893954575142705, 'mean': -0.9373415733135881, 'density': -0.937341573313588, 'sum': -28.120247199407643, 'count': 30}, 6: {'label': 6, 'median': 0.68428016095692, 'mean': 0.5616093464160418, 'density': 0.5616093464160419, 'sum': 22.46437385664167, 'count': 40}}",7,7,60674.390839167725,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=7, n_init=18,
                        random_state=5)",2.505838941179374
