calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,likelihood_lower,covariance_type,model,score
2282.022862376427,1.682835352152739,0.7536021688993072,0.5640100201236881,0.0004382077044393111,2.543401618948269,"{0: {'label': 0, 'median': 0.7364416326171465, 'mean': 0.6569342178734104, 'density': 0.6569342178734103, 'sum': 693.7225340743214, 'count': 1056}, 1: {'label': 1, 'median': 0.999993449758444, 'mean': 0.9999870021552266, 'density': 0.9999870021552223, 'sum': 828.9892247866828, 'count': 829}, 2: {'label': 2, 'median': -0.4273477214470914, 'mean': -0.21029134311745457, 'density': -0.2102913431174545, 'sum': -111.66470319536838, 'count': 531}, 3: {'label': 3, 'median': 0.6012821277236711, 'mean': 0.09732362762740701, 'density': 0.09732362762740718, 'sum': 43.60098517707834, 'count': 448}, 4: {'label': 4, 'median': 0.9997126900214124, 'mean': 0.9994481144096817, 'density': 0.9994481144096832, 'sum': 368.79635421717256, 'count': 369}}",5,5,30123.54563685979,full,"BayesianGaussianMixture(n_components=5, n_init=18, random_state=5)",0.8601280590910905
2446.4670717586123,1.6266443500368442,0.7677882699387494,0.600732658655442,0.00040875269139885155,2.6900476384423238,"{0: {'label': 0, 'median': 0.7413649572638786, 'mean': 0.6691229506496671, 'density': 0.6691229506496671, 'sum': 731.3513850600862, 'count': 1093}, 1: {'label': 1, 'median': 0.9999889030838365, 'mean': 0.9999779090707657, 'density': 0.9999779090707761, 'sum': 830.9816424378063, 'count': 831}, 2: {'label': 2, 'median': -0.39978990848738183, 'mean': -0.19430418418222867, 'density': -0.19430418418222858, 'sum': -98.3179171962077, 'count': 506}, 3: {'label': 3, 'median': 0.6863840010053617, 'mean': 0.2168380224660781, 'density': 0.21683802246607825, 'sum': 89.77094130095634, 'count': 414}, 4: {'label': 4, 'median': 0.9991756800257146, 'mean': 0.9984129404380304, 'density': 0.9984129404380311, 'sum': 388.38263383039384, 'count': 389}}",5,5,27469.713081525184,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=5, n_init=18,
                        random_state=5)",1.0629945357140806
5689.618760524348,0.44720089146416236,0.9631186040877354,0.8595725932718435,0.00017575870055445357,4.516225930652017,"{0: {'label': 0, 'median': 0.8209611819568037, 'mean': 0.7201513269175885, 'density': 0.7201513269175888, 'sum': 998.1297391077777, 'count': 1386}, 1: {'label': 1, 'median': 0.998800063001969, 'mean': 0.9974865292093421, 'density': 0.9974865292093247, 'sum': 857.8384151200343, 'count': 860}, 2: {'label': 2, 'median': 0.979738059834514, 'mean': 0.9438619832242311, 'density': 0.9438619832242318, 'sum': 458.71692384697633, 'count': 486}, 3: {'label': 3, 'median': 0.9636453077084036, 'mean': 0.9155322497395438, 'density': 0.9155322497395431, 'sum': 240.78498168150003, 'count': 263}, 4: {'label': 4, 'median': 0.975229356046491, 'mean': 0.9391938415613287, 'density': 0.939193841561329, 'sum': 223.52813429159622, 'count': 238}}",5,5,17652.335356372576,tied,"BayesianGaussianMixture(covariance_type='tied', n_components=5, n_init=18,
                        random_state=5)",4.0688492804873
3313.148479260204,0.43442120758271374,0.9754355423021673,0.6899486800004682,0.00030182770445087053,4.359842006631721,"{0: {'label': 0, 'median': 0.646133443478594, 'mean': 0.3753182542768318, 'density': 0.37531825427683224, 'sum': 600.133888588654, 'count': 1599}, 1: {'label': 1, 'median': 0.9999847285567784, 'mean': 0.9999698898229996, 'density': 0.9999698898229891, 'sum': 831.9749483327357, 'count': 832}, 2: {'label': 2, 'median': 0.9990133412902903, 'mean': 0.9980433655473346, 'density': 0.9980433655473343, 'sum': 397.2212594878392, 'count': 398}, 3: {'label': 3, 'median': 0.9956258903843832, 'mean': 0.9926880691974119, 'density': 0.9926880691974121, 'sum': 201.51567804707463, 'count': 203}, 4: {'label': 4, 'median': 0.9964396164796585, 'mean': 0.9938224277871546, 'density': 0.9938224277871543, 'sum': 199.75830798521807, 'count': 201}}",5,5,21643.960635857682,spherical,"BayesianGaussianMixture(covariance_type='spherical', n_components=5, n_init=18,
                        random_state=5)",3.9251189713445567
3098.8085137532457,0.8304220565806101,0.7152164790713373,0.6183395661657245,0.0003227046768336163,3.7680767600566423,"{0: {'label': 0, 'median': 0.5045211570117487, 'mean': 0.3982459000813812, 'density': 0.39824590008138083, 'sum': 419.3529327856944, 'count': 1053}, 1: {'label': 1, 'median': 0.9999932868326232, 'mean': 0.9999866975319645, 'density': 0.9999866975319689, 'sum': 828.9889722539986, 'count': 829}, 2: {'label': 2, 'median': 0.8518531349475339, 'mean': 0.6027175148249305, 'density': 0.6027175148249304, 'sum': 174.18536178440493, 'count': 289}, 3: {'label': 3, 'median': 0.9997126900214124, 'mean': 0.9994481144096817, 'density': 0.9994481144096832, 'sum': 368.79635421717256, 'count': 369}, 4: {'label': 4, 'median': 0.6013462735164546, 'mean': 0.09698007751914595, 'density': 0.096980077519146, 'sum': 43.447074728577384, 'count': 448}, 5: {'label': 5, 'median': 0.8400349339214674, 'mean': 0.6706984556895331, 'density': 0.670698455689533, 'sum': 164.3211216439356, 'count': 245}}",6,6,30500.712625771925,full,"BayesianGaussianMixture(n_components=6, n_init=18, random_state=5)",2.9373319987991984
2280.601688009633,1.508762698319529,0.7886923047728905,0.5763666871952069,0.00043848077691845333,2.790593051970204,"{0: {'label': 0, 'median': -0.7842578054776674, 'mean': -0.6775504571198443, 'density': -0.6775504571198445, 'sum': -162.61210970876263, 'count': 240}, 1: {'label': 1, 'median': -0.40026511545617105, 'mean': -0.19445326599174942, 'density': -0.1944532659917495, 'sum': -98.3933525918252, 'count': 506}, 2: {'label': 2, 'median': 0.9999880883114532, 'mean': 0.9999766259026424, 'density': 0.9999766259026612, 'sum': 830.9805761250958, 'count': 831}, 3: {'label': 3, 'median': 0.9994243799101004, 'mean': 0.9988906173103307, 'density': 0.99889061731033, 'sum': 373.58509087406367, 'count': 374}, 4: {'label': 4, 'median': 0.996971441409769, 'mean': 0.9944117004403767, 'density': 0.994411700440377, 'sum': 188.93822308367157, 'count': 190}, 5: {'label': 5, 'median': 0.7416389935842604, 'mean': 0.6693178314284298, 'density': 0.6693178314284299, 'sum': 730.8950719198453, 'count': 1092}}",6,6,28057.312463098773,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=6, n_init=18,
                        random_state=5)",1.2813918728737566
5899.716088010972,0.5505400516672847,0.9609297435645048,0.761028636021795,0.0001694996818630199,5.056381577808306,"{0: {'label': 0, 'median': 0.9289948941916801, 'mean': 0.8315542469104377, 'density': 0.8315542469104377, 'sum': 184.60504281411716, 'count': 222}, 1: {'label': 1, 'median': 0.9983622607730054, 'mean': 0.9951554240489997, 'density': 0.9951554240490159, 'sum': 854.8385092580908, 'count': 859}, 2: {'label': 2, 'median': 0.9797218511428545, 'mean': 0.9437701415371891, 'density': 0.9437701415371889, 'sum': 458.6722887870739, 'count': 486}, 3: {'label': 3, 'median': 0.5991427258861962, 'mean': 0.42871641340661626, 'density': 0.4287164134066162, 'sum': 501.1694872723344, 'count': 1169}, 4: {'label': 4, 'median': 0.9614783735914403, 'mean': 0.9141368307091666, 'density': 0.9141368307091666, 'sum': 239.50384964580167, 'count': 262}, 5: {'label': 5, 'median': 0.9764025988616298, 'mean': 0.9430485211958816, 'density': 0.9430485211958817, 'sum': 221.61640248103217, 'count': 235}}",6,6,19599.863901783305,tied,"BayesianGaussianMixture(covariance_type='tied', n_components=6, n_init=18,
                        random_state=5)",4.505672026459158
4447.841664700133,0.6944606806232763,0.9341942092657209,0.5948746246929092,0.00022482814708455197,4.203789578333424,"{0: {'label': 0, 'median': 0.4524694363465603, 'mean': 0.24002632597729423, 'density': 0.24002632597729423, 'sum': 279.1506171115932, 'count': 1163}, 1: {'label': 1, 'median': 0.9999846780955721, 'mean': 0.999969937498862, 'density': 0.9999699374988711, 'sum': 831.9749879990532, 'count': 832}, 2: {'label': 2, 'median': 0.9989788322878476, 'mean': 0.9980267720244477, 'density': 0.9980267720244465, 'sum': 393.2225481776324, 'count': 394}, 3: {'label': 3, 'median': 0.5245129189843691, 'mean': 0.028070029322386822, 'density': 0.028070029322386822, 'sum': 11.901692432692013, 'count': 424}, 4: {'label': 4, 'median': 0.9918397461584594, 'mean': 0.9847352752573116, 'density': 0.9847352752573113, 'sum': 208.76387835455006, 'count': 212}, 5: {'label': 5, 'median': 0.970244247564789, 'mean': 0.9529612382531141, 'density': 0.9529612382531139, 'sum': 198.21593755664773, 'count': 208}}",6,6,22835.19114940998,spherical,"BayesianGaussianMixture(covariance_type='spherical', n_components=6, n_init=18,
                        random_state=5)",3.5091040695630635
3223.969814819832,0.8587983966484678,0.8731852274489499,0.6208903688750668,0.00031017660134509786,3.7933892311542836,"{0: {'label': 0, 'median': 0.8684722314367053, 'mean': 0.8541603357672605, 'density': 0.8541603357672611, 'sum': 593.641433358246, 'count': 695}, 1: {'label': 1, 'median': 0.9999932553859537, 'mean': 0.9999866385582123, 'density': 0.9999866385582274, 'sum': 828.9889233647581, 'count': 829}, 2: {'label': 2, 'median': 0.9997089174971692, 'mean': 0.9994405461914503, 'density': 0.9994405461914495, 'sum': 368.7935615446452, 'count': 369}, 3: {'label': 3, 'median': 0.6186686898268343, 'mean': 0.11141403309488677, 'density': 0.1114140330948866, 'sum': 49.022174561750184, 'count': 440}, 4: {'label': 4, 'median': 0.8730767403381914, 'mean': 0.6449352974758875, 'density': 0.6449352974758873, 'sum': 181.22681859072438, 'count': 281}, 5: {'label': 5, 'median': -0.4250026964130116, 'mean': -0.43503573943078677, 'density': -0.4350357394307869, 'sum': -164.00847376540662, 'count': 377}, 6: {'label': 6, 'median': 0.8231024370641502, 'mean': 0.6184881194973585, 'density': 0.6184881194973584, 'sum': 149.67412491836075, 'count': 242}}",7,7,31187.657610492166,full,"BayesianGaussianMixture(n_components=7, n_init=18, random_state=5)",2.9342806579044707
3786.6768320248398,0.7891719053377215,0.8832160889545708,0.6427800345060533,0.0002640837981057054,4.164939351943494,"{0: {'label': 0, 'median': -0.37685407882116206, 'mean': -0.40377701557495027, 'density': -0.40377701557495044, 'sum': -162.31836026113, 'count': 402}, 1: {'label': 1, 'median': 0.9999883323121909, 'mean': 0.999976951585655, 'density': 0.999976951585647, 'sum': 830.9808467676793, 'count': 831}, 2: {'label': 2, 'median': 0.8352874376130714, 'mean': 0.8056915139588599, 'density': 0.8056915139588604, 'sum': 569.623900368914, 'count': 707}, 3: {'label': 3, 'median': 0.636516710004908, 'mean': 0.14874331552741515, 'density': 0.14874331552741504, 'sum': 62.91842246809661, 'count': 423}, 4: {'label': 4, 'median': 0.9991861961134546, 'mean': 0.9984391049165218, 'density': 0.9984391049165214, 'sum': 388.392811812527, 'count': 389}, 5: {'label': 5, 'median': 0.9678491175523645, 'mean': 0.91335064674057, 'density': 0.9133506467405694, 'sum': 219.2041552177368, 'count': 240}, 6: {'label': 6, 'median': 0.872802364476387, 'mean': 0.7025148347894311, 'density': 0.7025148347894314, 'sum': 169.3060751842529, 'count': 241}}",7,7,28923.495961917277,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=7, n_init=18,
                        random_state=5)",3.375503362807667
